
Host: cm013.hpc.nyu.edu

Timers On : Thu Nov  7 14:39:37 2024
Timers Off: Thu Nov  7 14:39:37 2024

Wall Time:        0.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: cm013.hpc.nyu.edu

Timers On : Thu Nov  7 14:15:27 2024
Timers Off: Thu Nov  7 14:58:43 2024

Wall Time:     2595.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.050s      0.160w      8 calls
Libint2ERI::Libint2ERI              :     17.867u      1.400s     11.803w    611 calls
DFH: initialize()                   :      0.167u      0.017s      0.124w      8 calls
DFH: AO Construction                :      0.067u      0.000s      0.025w      8 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.003w      8 calls
HF: Form core H                     :      0.233u      0.067s      0.327w    144 calls
HF: Form S/X                        :      0.100u      0.000s      0.049w    144 calls
HF: Guess                           :      8.967u      2.033s      6.620w    144 calls
SAD Guess                           :      8.583u      2.033s      6.326w    142 calls
HF: Form G                          :      5.583u      0.017s      3.387w   1010 calls
JK: D                               :      0.017u      0.000s      0.010w   1036 calls
JK: USO2AO                          :      0.083u      0.000s      0.055w   1036 calls
JK: JK                              :      5.450u      0.017s      3.310w   1036 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.032w     83 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     83 calls
DFH: compute_J                      :      0.000u      0.000s      0.008w     83 calls
DFH: compute_K                      :      0.033u      0.000s      0.022w     83 calls
JK: J                               :      0.400u      0.000s      0.272w    953 calls
JK: J1                              :      0.167u      0.000s      0.135w   1050 calls
JK: J2                              :      0.233u      0.000s      0.127w   1050 calls
JK: K                               :      4.833u      0.000s      2.919w    953 calls
JK: K1                              :      4.300u      0.000s      2.496w   1063 calls
JK: K2                              :      0.533u      0.000s      0.418w   1050 calls
JK: AO2USO                          :      0.050u      0.000s      0.028w   1036 calls
HF: Form F                          :      0.017u      0.000s      0.010w   1010 calls
HF: Form D                          :      0.017u      0.000s      0.008w   1010 calls
HF: DIIS                            :      4.400u      0.267s      4.046w    868 calls
HF: Form C                          :      0.667u      0.017s      0.449w    868 calls
Grad: V T Perturb                   :      0.033u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.250u      0.000s      0.472w      5 calls
JKGrad: Amn                         :      0.050u      0.000s      0.040w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
